"vendor_id","tpep_pickup","tpep_dropoff","passenger_count","trip_distance","ratecodeID","store_fwd_flag","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","pickup_longitude","pickup_latitude","dropoff_latitude","dropoff_longitude","hexagon_id","day_of_week"
2,"2016-05-04 22:24:00","2016-05-04 22:39:00",1,"1.83",1,"N",1,"10.5","0.5","0.5","2.36","0","0.3","14.16","-74.00614929","40.73474121","40.72071075","-73.9955368","892a1072cdbffff",NULL
2,"2016-05-04 22:24:00","2016-05-04 22:30:00",3,"1.65",1,"N",1,"7","0.5","0.5","1.66","0","0.3","9.96","-73.97592926","40.74477386","40.72594452","-73.98519897","892a100d287ffff",NULL
1,"2016-05-04 22:24:00","2016-05-04 22:35:00",1,"1.8",1,"N",1,"9.5","0.5","0.5","2.15","0","0.3","12.95","-74.00327301","40.73988342","40.75587463","-73.98467255","892a10721b7ffff",NULL
1,"2016-05-04 22:24:00","2016-05-04 22:40:00",2,"4.6",1,"N",1,"16","0.5","0.5","3.45","0","0.3","20.75","-73.98873901","40.74512863","40.79528046","-73.96576691","892a100d21bffff",NULL
2,"2016-05-04 22:24:00","2016-05-04 22:26:00",1,"0.66",1,"N",1,"4.5","0.5","0.5","1.16","0","0.3","6.96","-73.99716187","40.7431221","40.75015259","-73.99490356","892a100d243ffff",NULL
2,"2016-05-04 22:24:00","2016-05-04 22:34:00",6,"3.33",1,"N",2,"12","0.5","0.5","0","0","0.3","13.3","-73.96600342","40.75301743","40.74671555","-73.92556763","892a100d637ffff",NULL
2,"2016-05-04 22:24:00","2016-05-04 22:31:00",1,"0.93",1,"N",2,"6.5","0.5","0.5","0","0","0.3","7.8","-73.98914337","40.75822067","40.76385117","-73.97894287","892a10725b7ffff",NULL
2,"2016-05-04 22:24:00","2016-05-04 22:37:00",5,"1.9",1,"N",1,"10","0.5","0.5","1","0","0.3","12.3","-74.00136566","40.73109818","40.71217346","-74.00793457","892a1072cd7ffff",NULL
2,"2016-05-04 22:24:00","2016-05-04 22:42:00",1,"2.75",1,"N",1,"13.5","0.5","0.5","2.96","0","0.3","17.76","-73.97612762","40.75579834","40.73040009","-74.00257874","892a100d677ffff",NULL
1,"2016-05-04 22:24:00","2016-05-04 22:29:00",1,"1",1,"N",1,"6","0.5","0.5","1.45","0","0.3","8.75","-73.98643494","40.74013138","40.74746704","-74.00366974","892a100d207ffff",NULL
